Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution;Recommandation de surveillance;stop_lon;stop_lat;pollution_air
IDFM:monomodalStopPlace:43087;Ballancourt;RER D;station aérienne;non;2.37009304880138;48.5310153121648;station aérienne
IDFM:483277;Barbara;Métro 4;FAIBLE;non;2.3174992240284;48.8097902543071;pollution faible - incertitude forte
IDFM:22010;Bastille;Métro 5;MOYENNE;non;2.36892207564699;48.8532874783043;pollution moyenne - incertitude forte
IDFM:22178;Bercy;Métro 6;MOYENNE;non;2.37946307018526;48.8401760281219;pollution moyenne - incertitude forte
IDFM:463129;Bercy;Métro 14;FAIBLE;non;2.37906201522772;48.8401019980339;pollution faible - incertitude faible
IDFM:463112;Bibliothèque François Mitterrand;Métro 14;FAIBLE;non;2.3764873711683;48.8299257659289;pollution faible - incertitude forte
IDFM:monomodalStopPlace:45763;Boissise-le-Roi;RER D;station aérienne;non;2.57179291425262;48.529857340025;station aérienne
IDFM:monomodalStopPlace:43094;Boissy-Saint-Léger;RER A;station aérienne;non;2.50449817669072;48.7522673078219;station aérienne
IDFM:463132;Bolivar;Métro 7B;MOYENNE;non;2.37415214069875;48.8807898055319;pollution moyenne - incertitude forte
IDFM:22033;Bourse;Métro 3;MOYENNE;non;2.34067854697588;48.8687928439332;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:47925;Breuillet - Bruyères-le-Châtel;RER C;station aérienne;non;2.19224873943565;48.5776097943633;station aérienne
IDFM:monomodalStopPlace:43099;Breuillet Village;RER C;station aérienne;non;2.17035425729033;48.5643341340457;station aérienne
IDFM:monomodalStopPlace:43101;Bry-sur-Marne;RER A;station aérienne;non;2.52567094502011;48.8451374762809;station aérienne
IDFM:24683;Buttes Chaumont;Métro 7B;MOYENNE;non;2.38156984208801;48.8784990883986;pollution moyenne - incertitude forte
IDFM:463141;Cardinal Lemoine;Métro 10;MOYENNE;non;2.35132800167318;48.8467000352631;pollution moyenne - incertitude forte
IDFM:22391;Censier - Daubenton;Métro 7;MOYENNE;non;2.3516265726055;48.8402262485139;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:44559;Cergy Préfecture;RER A;MOYENNE;non;2.07978094900131;49.036306683134;pollution moyenne - incertitude faible
IDFM:22090;Champs-Elysées - Clemenceau;Métro 1;FAIBLE;non;2.31439729202524;48.8675839595526;pollution faible - incertitude forte
IDFM:monomodalStopPlace:411428;Chantilly - Gouvieux;RER D;station aérienne;non;2.45951591400852;49.187030004664;station aérienne
IDFM:monomodalStopPlace:58759;Charles de Gaulle - Etoile;RER A;FAIBLE;non;2.29523144764121;48.8741727595654;pollution faible - incertitude forte
IDFM:463043;Charles de Gaulle - Etoile;Métro 2;MOYENNE;non;2.29592750740928;48.8749457931341;pollution moyenne - incertitude forte
IDFM:22095;Charles de Gaulle - Etoile;Métro 6;MOYENNE;non;2.29499573544183;48.8738386147857;pollution moyenne - incertitude forte
IDFM:463149;Château de Vincennes;Métro 1;FAIBLE;non;2.44054009540611;48.8443175143136;pollution faible - incertitude forte
IDFM:22152;Château Rouge;Métro 4;FAIBLE;non;2.34958196802566;48.887241930649;pollution faible - incertitude forte
IDFM:22087;Châtelet;Métro 1;MOYENNE;non;2.34576095418478;48.8592247134282;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:45102;Châtelet les Halles;RER A;MOYENNE;non;2.34697651043533;48.8617450319132;pollution moyenne - incertitude faible
IDFM:monomodalStopPlace:45102;Châtelet les Halles;RER B;MOYENNE;non;2.34697651043533;48.8617450319132;pollution moyenne - incertitude faible
IDFM:monomodalStopPlace:58879;Chelles - Gournay;RER E;station aérienne;non;2.58338065945007;48.8741194889706;station aérienne
IDFM:monomodalStopPlace:46035;Chemin d'Antony;RER C;station aérienne;non;2.31264968639193;48.7479365425873;station aérienne
IDFM:22096;Concorde;Métro 8;MOYENNE;non;2.32203154265572;48.8665212519395;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43114;Conflans Fin d'Oise;RER A;station aérienne;non;2.07464992457102;48.9911562872585;station aérienne
IDFM:462949;Convention;Métro 12;MOYENNE;non;2.29639138648092;48.837135053805;pollution moyenne - incertitude forte
IDFM:490770;Coteaux Beauclair;Métro 11;station aérienne;non;2.46736478044959;48.882122126895;station aérienne
IDFM:463155;Crimée;Métro 7;MOYENNE;non;2.37703806000199;48.8908143456217;pollution moyenne - incertitude forte
IDFM:24687;Danube;Métro 7B;MOYENNE;non;2.39322847122749;48.8819492149206;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:473890;Denfert-Rochereau;RER B;MOYENNE;non;2.33322063464139;48.8331864367808;pollution moyenne - incertitude forte
IDFM:22016;Eglise de Pantin;Métro 5;MOYENNE;non;2.41311955370694;48.8931639740983;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43080;Etampes;RER C;station aérienne;non;2.15981913390772;48.4370626758291;station aérienne
